personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
48456,48456,553615,34230,34231,F,N,N,1985.0,,8,31.0
48565,48565,553615,40872,55119,M,N,N,1969.0,,7,47.0
52819,52819,553615,27663,27664,F,N,N,1960.0,,8,56.0
58911,58911,553615,43440,2120,F,N,N,1966.0,,7,50.0
58912,58912,553615,0,0,M,N,N,1966.0,,7,50.0
17239,17239,553615,64554,64555,F,Y,N,1923.0,1995.0,7,72.0
6221,6221,553615,6223,6224,M,Y,Y,1966.0,1991.0,7,25.0
6223,6223,553615,0,0,F,N,N,1955.0,,6,61.0
6224,6224,553615,52945,52944,M,N,N,1943.0,,6,73.0
15828,15828,553615,15829,0,F,N,N,1980.0,,8,36.0
15829,15829,553615,55237,55238,F,N,N,1964.0,,7,52.0
17463,17463,553615,17464,0,F,N,N,1982.0,,10,34.0
17464,17464,553615,64106,24835,F,N,N,1959.0,,9,57.0
19875,19875,553615,19881,19884,M,Y,Y,1972.0,1995.0,8,23.0
19881,19881,553615,0,0,F,N,N,1950.0,,7,66.0
19884,19884,553615,30688,30689,M,Y,N,1941.0,2004.0,7,63.0
22884,22884,553615,28269,0,F,N,N,1988.0,,8,28.0
25092,25092,553615,31799,0,F,N,N,1965.0,,8,51.0
26126,26126,553615,17464,0,F,N,N,1980.0,,10,36.0
28137,28137,553615,28138,6179,F,Y,Y,1983.0,2009.0,9,26.0
28138,28138,553615,59644,27044,F,N,N,1963.0,,8,53.0
38722,38722,553615,23232,65816,M,Y,N,1948.0,1992.0,7,44.0
38914,38914,553615,38915,0,M,N,N,1991.0,,10,25.0
38915,38915,553615,63950,10523,F,N,N,1968.0,,9,48.0
40514,40514,553615,40515,0,F,N,N,1987.0,,8,29.0
40515,40515,553615,2249,47920,F,N,N,1967.0,,7,49.0
40875,40875,553615,40876,40877,F,N,N,1989.0,,9,27.0
40876,40876,553615,18174,18171,F,N,N,1970.0,,8,46.0
40877,40877,553615,0,0,M,N,N,,,8,
41524,41524,553615,6865,0,M,N,N,1989.0,,8,27.0
43230,43230,553615,43640,43641,M,Y,N,1910.0,1997.0,6,87.0
43703,43703,553615,43704,0,F,N,N,1983.0,,9,33.0
43704,43704,553615,14672,38722,F,N,N,1969.0,,8,47.0
46027,46027,553615,68044,0,F,N,N,1983.0,,8,33.0
22854,22854,553615,22860,0,M,N,N,1989.0,,8,27.0
22860,22860,553615,66233,58862,F,N,N,1967.0,,7,49.0
